id,title,description,original_air_date,production_code,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating,tmdb_rating,tmdb_vote_count
498,The Daughter Also Rises,"Lisa falls for an adventurous, Hemingway-esque young boy, while Bart and Millhouse set out to bust all the myths that surround Springfield Elementary School.    ",2012-02-12,PABF06,Chuck Sheetz,Rob LaZebnik,23,13,499,4.26,6.3,5.6,11
499,At Long Last Leave,"The town votes to kick the Simpsons out of Springfield, so they decide to move to the Outlands.    ",2012-02-19,PABF07,Matthew Nastuk,Michael Price,23,14,500,5.77,6.9,6.0,11
500,Exit Through the Kwik-E-Mart,"Bart becomes an urban vandal and decides to use Homer as his inspiration, while Apu hits hard times when a new trendy market takes all the Kwik-E-Mart customers.    ",2012-03-04,PABF09,Steven Dean Moore,Marc Wilmore,23,15,501,5.09,6.8,6.0,11
501,How I Wet Your Mother,The family break into Homer's dreams Inception-style after he begins wetting the bed.    ,2012-03-11,PABF08,Lance Kramer,Billy Kimball & Ian Maxtone-Graham,23,16,502,4.97,7.2,6.3,13
502,"Them, Robot","Mr. Burns replaces all of the nuclear plant employees with robots--except for Homer, who stays along to supervise the robots and serve as a human scapegoat.    ",2012-03-18,PABF10,Mike Frank Polcino,Michael Price,23,17,503,5.25,6.9,5.8,13
503,Beware My Cheating Bart,"Jimbo's girlfriend cheats on Jimbo with Bart, and Homer uses his new treadmill to catch up on a TV series about plane crash victims stranded on an island.    ",2012-04-15,PABF11,Mark Kirkland,Ben Joseph,23,18,504,4.86,7.1,6.1,15
504,A Totally Fun Thing That Bart Will Never Do Again,"Bart gets the family to take the cruise vacation of his dreams, and then launches a fiendish plot to ensure that it goes on forever.    ",2012-04-29,PABF12,Chris Clements,Matt Warburton,23,19,505,5.00,7.6,7.0,13
505,The Spy Who Learned Me,"Homer uses his paid sick leave to improve his marriage, with the help of his imaginary friend, super-spy Stradivarius Cain. Meanwhile, Bart gets revenge on Nelson for stealing everyone's lunch money.    ",2012-05-06,PABF13,Bob Anderson,Marc Wilmore,23,20,506,4.84,6.8,6.1,17
506,Ned 'n' Edna's Blend Agenda,"After Ned and Edna announce publicly that they were secretly married, the two clash over how to raise Rod and Todd.    ",2012-05-13,PABF15,Chuck Sheetz,Jeff Westbrook,23,21,507,4.07,6.6,6.3,11
507,Lisa Goes Gaga,"After a desperate attempt by Lisa to become more popular backfires, Lady Gaga shows up in Springfield to help her with her self-esteem.    ",2012-05-20,PABF14,Matthew Schofield,Tim Long,23,22,508,4.82,4.0,4.9,19
508,Moonshine River,"The Simpsons go back to New York City so that Bart can find his old girlfriend Mary Spuckler. Meanwhile, Lisa and Marge spend the trip trying to take in New York culture on the cheap.    ",2012-09-30,PABF21,Bob Anderson,Tim Long,24,1,509,8.08,6.3,6.0,13
509,Treehouse of Horror XXIII,"A black hole threatens to swallow Springfield, Homer tries to find the source of paranormal activity, and a ""Back to the Future"" parody in which Bart keeps Marge from marrying Homer.    ",2012-10-07,PABF17,Steven Dean Moore,David Mandel & Brian Kelley,24,2,510,6.57,7.2,5.4,19
510,Adventures in Baby-Getting,"Marge decides that she wants another baby, but Homer doesn't want one. Meanwhile, Bart tries to figure out where Lisa is secretly going after school.    ",2012-11-04,PABF18,Rob Oliver,Bill Odenkirk,24,3,511,5.65,6.8,6.3,15
511,Gone Abie Gone,Homer invests Lisa's college fund on an online poker site. Meanwhile Abe disappears from the Springfield Retirement Castle.    ,2012-11-11,PABF16,Matthew Nastuk,Joel H. Cohen,24,4,512,6.86,6.7,5.2,12
512,Penny-Wiseguys,"Fat Tony has to serve jury duty, and his clerk, Dan, must run the mafia while he's gone. Meanwhile, Lisa considers making a disgusting change to her diet.    ",2012-11-18,PABF19,Mark Kirkland,Michael Price,24,5,513,5.06,6.3,5.3,9
513,A Tree Grows in Springfield,"Homer becomes addicted to his new tablet computer. But when it is destroyed Homer becomes despondent, until he finds and provides hope for Springfield in the most unlikely place.    ",2012-11-25,PABF22,Timothy Bailey,Stephanie Gillis,24,6,514,7.46,6.3,6.1,13
514,The Day the Earth Stood Cool,"Homer befriends a hipster and invites his family to move in next door. However, their friendship soon sours as Springfield is transformed into a haven for ""coolness.""    ",2012-12-09,PABF20,Matthew Faughnan,Matt Selman,24,7,515,7.44,6.9,5.7,15
515,To Cur with Love,"When Homer shows no remorse over almost losing Santa's Little Helper, Grandpa tells everyone the story of Homer's childhood dog.    ",2012-12-16,RABF01,Steven Dean Moore,Carolyn Omine,24,8,516,3.77,7.2,6.7,12
516,Homer Goes to Prep School,"Homer joins the ""Springfield Preppers,"" an off-the-grid survivalist group whose leader has set up a top-secret retreat outside of town to prepare for the end of the world.    ",2013-01-06,RABF02,Mark Kirkland,Brian Kelley,24,9,517,8.97,6.7,5.5,13
517,A Test Before Trying,"The fate of Springfield Elementary rests on Bart and his test scores, and Homer finds way to make money with his own parking meter.    ",2013-01-13,RABF03,Chris Clements,Joel H. Cohen,24,10,518,5.04,6.9,6.3,17
518,The Changing of the Guardian,Homer and Marge find the perfect young couple and ask them to be the guardians for the kids in case something happens to them.    ,2013-01-27,RABF04,Bob Anderson,Rob LaZebnik,24,11,519,5.23,6.4,5.9,14
519,Love Is a Many-Splintered Thing,"Mary Spuckler returns to Springfield and begins a relationship with Bart. However, Bart treats her with disrespect.    ",2013-02-10,RABF07,Mike Frank Polcino,Tim Long,24,12,520,4.19,6.2,6.1,17
520,Hardly Kirk-ing,"Bart poses Millhouse as his father so that they can do adult activities, and Homer becomes skilled at finding lost objects thanks to Highlights magazine.    ",2013-02-17,RABF05,Matthew Nastuk,Tom Gammill & Max Pross,24,13,521,4.57,7.0,5.9,14
521,Gorgeous Grampa,"Homer's obsession with the TV show ""Storage Battles"" leads the family to discover Grampa's past identity as ""Gorgeous Godfrey,"" the most feared, villainous man in pro-wrestling history    ",2013-03-03,RABF06,Chuck Sheetz,Matt Selman,24,14,522,4.66,6.2,5.6,13
522,"Black Eyed, Please","Ned gets fed up with Homer and punches him in the eye, and Lisa is a bullying victim from her new substitute teacher.    ",2013-03-10,RABF09,Matthew Schofield,John Frink,24,15,523,4.85,6.9,6.6,15
523,Dark Knight Court,"When Bart is accused of a prank he says he didn't commit, Lisa is forced to defend him in youth court, with former attorney general Janet Reno serving as judge.    ",2013-03-17,RABF10,Mark Kirkland,Billy Kimball & Ian Maxtone-Graham,24,16,524,4.89,7.1,6.2,17
524,What Animated Women Want,"Homer contemplates his next move after getting in the doghouse with Marge, while Millhouse's new Stanley Kowalski-inspired persona makes him suddenly attractive to Lisa.    ",2013-04-14,RABF08,Steven Dean Moore,J. Stewart Burns,24,17,525,4.11,6.4,5.8,13
525,Pulpit Friction,"Springfield gets a bedbug scare, the new assistant pastor at church appoints Homer as a deacon, and Marge loses her wedding dress.    ",2013-04-28,RABF11,Chris Clements,Bill Odenkirk,24,18,526,4.54,6.4,6.0,13
526,Whiskey Business,"A new makeover could put Moe in a position to make big money, Bart fails at his job of taking care of Grandpa, and Lisa fights the shameless exploitation of Bleeding Gums Murphy's likeness.    ",2013-05-05,RABF13,Matthew Nastuk,Valentina L. Garza,24,19,527,4.43,6.7,6.8,12
527,The Fabulous Faker Boy,"Bart takes piano lessons from a cute Russian girl, Marge tries to teach the girl's father how to drive, and Homer loses the last of his hair.    ",2013-05-12,RABF12,Bob Anderson,Brian McConnachie,24,20,528,4.16,6.2,5.6,13
528,The Saga of Carl,"Homer, Moe, Lenny and Carl win the lottery, but Carl steals the ticket and leaves with the money for Iceland.    ",2013-05-19,RABF14,Chuck Sheetz,Eric Kaplan,24,21,529,4.01,7.0,6.7,14
529,Dangers on a Train,"When Marge tries to buy Homer snack cakes for their anniversary, she winds up meeting a married man who shares a common love of British television.    ",2013-05-19,RABF17,Steven Dean Moore,Michael Price,24,22,530,4.52,7.0,5.7,14
530,Homerland,"Homer returns from a nuclear power convention a changed man, and Lisa begins to suspect that he has become a domestic terrorist.    ",2013-09-29,RABF20,Bob Anderson,Stephanie Gillis,25,1,531,6.37,6.9,6.4,18
531,Treehouse of Horror XXIV,"The scariest Simpsons Halloween show yet, featuring an opening by Guillermo Del Toro.    ",2013-10-06,RABF16,Rob Oliver,Jeff Westbrook,25,2,532,6.42,6.9,6.2,22
532,Four Regrettings and a Funeral,"While attending a funeral, Homer, Marge, Mr. Burns, and Kent Brockman recall a past regret and try to find a way to rectify the situation.    ",2013-11-03,RABF18,Mark Kirkland,Marc Wilmore,25,3,533,5.43,6.4,6.0,13
533,YOLO,Homer is stunned to learn he'll only live once. A pen pal from his youth helps him live that life to its fullest. Meanwhile Springfield Elementary institutes an honor code.    ,2013-11-10,RABF22,Mike Frank Polcino,Michael Nobori,25,4,534,4.20,6.5,6.1,16
534,Labor Pains,"Homer helps take care of a child that he delivered in an elevator, and Lisa tries to organize the Springfield Atoms cheerleaders against the team's greedy owner.    ",2013-11-17,RABF19,Matthew Faughnan,Don Payne & Mitchell H. Glazer,25,5,535,4.08,6.8,6.2,12
535,The Kid Is All Right,"Lisa is distressed when she discovers that her new friend is a Republican, and they wind up running against each other as Springfield Elementary's second grade representative.    ",2013-11-24,SABF02,Mark Kirkland,Tim Long,25,6,536,6.78,6.4,6.0,14
536,Yellow Subterfuge,Principal Skinner promises the students that the best-behaved can take a ride in a submarine. Bart believes his past indiscretions will be forgotten. Lisa tries to help Krusty by suggesting him to sell the foreign rights to his shows.    ,2013-12-08,SABF04,Bob Anderson,Joel H. Cohen,25,7,537,6.85,6.7,6.3,14
537,White Christmas Blues,"When a sudden tourist spike means that the family cannot afford Christmas, the Simpsons open up their house to boarders.    ",2013-12-15,SABF01,Steven Dean Moore,Don Payne,25,8,538,8.48,6.4,6.1,14
538,Steal This Episode,"Fed up with the high price of Hollywood films, Homer begins screening pirated movies in his backyard, but is busted by the FBI after Marge turns him in.    ",2014-01-05,SABF05,Matthew Nastuk,J. Stewart Burns,25,9,539,12.04,7.7,6.6,21
539,Married to the Blob,Comic Book Guy seeks romantic advice from Homer when he falls for a Japanese woman who's interested in manga.    ,2014-01-12,SABF03,Chris Clements,Tim Long,25,10,540,4.83,6.9,6.2,14
540,Specs and the City,"Mr. Burns' Christmas present to his employees, a pair of augmented reality glasses, places a strain on Homer and Marge's relationship. Meanwhile, Bart wrestles with giving a Valentine's Day card to Nelson.    ",2014-01-26,SABF06,Lance Kramer,Brian Kelley,25,11,541,3.87,7.1,6.5,15
541,Diggs,"Bart becomes friends with a schoolmate who enjoys falconry, but turns out to be mentally disturbed.    ",2014-03-09,SABF08,Mike Frank Polcino,Dan Greaney & Allen Glazier,25,12,542,2.69,6.3,5.3,18
542,The Man Who Grew Too Much,"Lisa becomes friends with Sideshow Bob, who now has a new job working with genetically-altered foods. Meanwhile, Marge becomes frustrated teaching abstinence for the church.    ",2014-03-09,SABF07,Matthew Schofield,Jeff Westbrook,25,13,543,3.75,6.6,5.5,17
543,The Winter of His Content,"When Abe and two of his friends move in with the Simpsons after the Springfield Retirement Castle closes, Homer begins to embrace their lifestyle. Meanwhile, Nelson initiates Bart into the bully group after coming to his defense.    ",2014-03-16,SABF09,Chuck Sheetz,Kevin Curran,25,14,544,4.02,6.6,6.0,15
544,The War of Art,The friendship between the Simpsons and the Van Houtens is challenged when a painting the Simpsons buy from the Van Houtens' yard sale is discovered to be extremely valuable.    ,2014-03-23,SABF10,Steven Dean Moore,Rob LaZebnik,25,15,545,3.98,6.9,6.3,16
545,You Don't Have to Live Like a Referee,Homer becomes a referee for the World Cup and finds himself tested by bribers when the Simpsons travel to Brazil.    ,2014-03-30,SABF11,Mark Kirkland,Michael Price,25,16,546,3.91,6.7,6.2,14
546,Luca$,"Marge becomes worried when Lisa starts dating a competitive eater-in-training, while Bart receives gifts from Snake Jailbird for helping him out.    ",2014-04-06,SABF12,Chris Clements,Carolyn Omine,25,17,547,4.30,6.3,6.1,18
547,Days of Future Future,"Thirty years into the future, Bart is having trouble dealing with his divorce, Lisa is struggling with her marriage to Milhouse, and Marge is finally fed up after burying yet another Homer clone.    ",2014-04-13,SABF13,Bob Anderson,J. Stewart Burns,25,18,548,3.64,7.0,6.6,16
548,What to Expect When Bart's Expecting,Bart becomes a savior to Springfield couples trying to conceive when he inadvertently uses voodoo to get his art teacher pregnant.    ,2014-04-27,SABF14,Matthew Nastuk,John Frink,25,19,549,3.45,5.8,5.7,14
549,Brick Like Me,The Lego version of Homer begins to suspect that his entire Lego world is not real when a toy triggers a flashback to an alternate reality.    ,2014-05-04,RABF21,Matthew Nastuk,Brian Kelley,25,20,550,4.39,7.9,7.1,19
550,Pay Pal,"When Homer ruins his and Marge's chances of making a new couple friend, Marge decides to concentrate on finding a friend for Lisa. However, Lisa suddenly makes a new friend on her own.    ",2014-05-11,SABF15,Mike Frank Polcino,David H. Steinberg,25,21,551,3.66,6.5,5.9,15
551,The Yellow Badge of Cowardge,"Bart wins the annual ""last day of school"" race - with a little help from Nelson - and Homer attempts to bring back 4th of July fireworks, which have been canceled due to low budget cuts.    ",2014-05-18,SABF18,Timothy Bailey,Billy Kimball & Ian Maxtone-Graham,25,22,552,3.28,6.6,5.9,14
552,Clown in the Dumps,"Krusty has a crisis of conscience and retires from show business after his father dies before ever approving of his career. Meanwhile, Lisa becomes worried about Homer's health and life expectancy.    ",2014-09-28,SABF20,Steven Dean Moore,Joel H. Cohen,26,1,553,8.53,5.7,5.3,16
553,The Wreck of the Relationship,"Homer and Bart turn to the open seas to improve their relationship, and Marge becomes a trash talking victim after she drafts Homer's fantasy football team.    ",2014-10-05,SABF17,Chuck Sheetz,Jeff Westbrook,26,2,554,4.27,6.7,6.0,18
554,Super Franchise Me,"Marge opens a sandwich franchise store after her sandwiches become a huge hit at Springfield Elementary. But running day-to-day at the store proves challenging, especially when the same franchise opens another location across the street.    ",2014-10-12,SABF19,Mark Kirkland,Bill Odenkirk,26,3,555,7.33,6.4,5.9,19
